,house_code,title,district,community,housing_estate,size,orientation,house_type,floor,price
1160,BJ2705683343366176768,整租·永乐东区 2室2厅 东南/西南/东北,石景山,鲁谷,永乐东区,86㎡,东南 西南 东北,2室2厅1卫,中楼层（20层）,6800
1161,BJ2736934300845867008,整租·聚兴园 2室1厅 南/西,石景山,鲁谷,聚兴园,92㎡,南 西,2室1厅1卫,中楼层（17层）,5600
1162,BJ2677006923894620160,整租·远洋山水 3室1厅 西南,石景山,鲁谷,远洋山水,142㎡,西南,3室1厅2卫,低楼层（24层）,12000
1163,BJ2732660507831451648,整租·鲁谷村 2室1厅 西南,石景山,鲁谷,鲁谷村,85㎡,西南,2室1厅1卫,低楼层（6层）,5900
1164,BJ2726665730857902080,整租·模式口西里 2室1厅 南,石景山,苹果园,模式口西里,63㎡,南,2室1厅1卫,中楼层（16层）,3800
1165,BJ2736394671256240128,整租·远洋山水 2室1厅 西北,石景山,鲁谷,远洋山水,100㎡,西北,2室1厅1卫,高楼层（24层）,7300
1166,BJ2684790547196936192,整租·金融街长安中心 1室0厅 西,石景山,古城,金融街长安中心,41㎡,西,1室0厅1卫,低楼层（31层）,4500
1167,BJ2733888910244716544,整租·模式口东里 2室1厅 南/北,石景山,苹果园,模式口东里,57㎡,南 北,2室1厅1卫,高楼层（6层）,3500
1168,BJ2730225879773872128,整租·古城南路 2室1厅 南/北,石景山,古城,古城南路,54㎡,南 北,2室1厅1卫,中楼层（5层）,4800
1169,BJ2729634247760683008,整租·模式口西里 2室1厅 南,石景山,苹果园,模式口西里,60㎡,南,2室1厅1卫,低楼层（8层）,3500
1170,BJ2716069966889107456,整租·远洋山水 3室2厅 东南,石景山,鲁谷,远洋山水,135㎡,东南,3室2厅2卫,低楼层（24层）,12500
1171,BJ2743392757640347648,整租·琳琅庄园 1室1厅 东,石景山,苹果园,琳琅庄园,76㎡,东,1室1厅1卫,低楼层（16层）,4800
1172,BJ2741104590559641600,整租·鲁谷74号院 2室1厅 东南,石景山,鲁谷,鲁谷74号院,100㎡,东南,2室1厅1卫,低楼层（14层）,8200
1173,BJ2631758939754340352,整租·金顶阳光 2室1厅 东,石景山,苹果园,金顶阳光,90㎡,东,2室1厅1卫,中楼层（21层）,5300
1174,BJ2744195282673090560,整租·老山西里 3室1厅 南/北,石景山,老山,老山西里,62㎡,南 北,3室1厅1卫,低楼层（6层）,5800
1175,BJ2743357437196107776,整租·西引力 1室1厅 西北,石景山,八角,西引力,47㎡,西北,1室1厅1卫,低楼层（18层）,4700
1176,BJ2732516173533937664,八大处整形医院家属楼 3室1厅 南/北,石景山,苹果园,八大处整形医院家属楼,73㎡,南 北,3室1厅1卫,低楼层（5层）,5500
1177,BJ2738914734979432448,八大处整形医院家属楼 1室1厅 南,石景山,苹果园,八大处整形医院家属楼,40㎡,南,1室1厅1卫,高楼层（5层）,3800
1178,BJ2742167536429965312,整租·绿地环球文化金融城 3房间 南,石景山,石景山其它,绿地环球文化金融城,59㎡,南,3房间1卫,中楼层（23层）,6800
1179,BJ2739075838539735040,整租·海特花园小区 1室1厅 南,石景山,苹果园,海特花园小区,57㎡,南,1室1厅1卫,高楼层（7层）,3600
1180,BJ2609348047263768576,整租·古城南路 2室1厅 东,石景山,古城,古城南路,50㎡,东,2室1厅1卫,高楼层（5层）,3400
1181,BJ2696407574169272320,整租·杨庄小区 2室1厅 南,石景山,杨庄,杨庄小区,60㎡,南,2室1厅1卫,高楼层（14层）,4700
1182,BJ2733120576968196096,整租·中海长安雅苑 1室1厅 南,石景山,古城,中海长安雅苑,60㎡,南,1室1厅1卫,低楼层（22层）,4700
