,house_code,title,district,community,housing_estate,size,orientation,house_type,floor,price
42,BJ2725899326231412736,整租·车站东街15号院 2室1厅 东,西城,天宁寺,车站东街15号院,60㎡,东,2室1厅1卫,中楼层（5层）,6500
43,BJ2733752005603901440,整租·荣丰2008 1室1厅 东,西城,广安门,荣丰2008,34㎡,东,1室1厅1卫,高楼层（26层）,4630
44,BJ2725990734686855168,整租·新风南里 2室1厅 南/北,西城,马甸,新风南里,75㎡,南 北,2室1厅1卫,高楼层（6层）,7750
45,BJ2725447752254496768,整租·育新街 2室1厅 南,西城,右安门内,育新街,53㎡,南,2室1厅1卫,中楼层（6层）,6500
46,BJ2725929888615251968,整租·荣丰2008 3室2厅 南,西城,广安门,荣丰2008,51㎡,南,3室2厅2卫,中楼层（20层）,9000
47,BJ2725938599110647808,整租·华龙大厦 1室0厅 南,西城,马甸,华龙大厦,143㎡,南,1室0厅0卫,高楼层（25层）,20000
48,BJ2725519969269063680,整租·建邦礼仕阁 1室0厅 东,西城,月坛,建邦礼仕阁,57㎡,东,1室0厅1卫,中楼层（10层）,11000
49,BJ2725470076571484160,整租·三里河北街5号院 1室1厅 西,西城,月坛,三里河北街5号院,48㎡,西,1室1厅1卫,低楼层（18层）,6200
50,BJ2725517019180449792,整租·荣丰2008 1室1厅 北,西城,广安门,荣丰2008,28㎡,北,1室1厅1卫,低楼层（10层）,5200
51,BJ2732371557380005888,整租·荣丰2008 1室1厅 西,西城,广安门,荣丰2008,26㎡,西,1室1厅1卫,高楼层（26层）,4830
52,BJ2727485759098994688,整租·广益大厦 1房间 北,西城,长椿街,广益大厦,56㎡,北,1房间0卫,低楼层（16层）,7500
53,BJ2660253154884722688,合租·真武庙四里 3居室 东卧,西城,木樨地,真武庙四里,16㎡,东,3居室,低楼层（6层）,3660
54,BJ2727430867042435072,整租·铁二区 3室1厅 南/北,西城,月坛,铁二区,70㎡,南 北,3室1厅1卫,高楼层（6层）,9500
55,BJ2660251240805703680,合租·真武庙四里 3居室 东卧,西城,木樨地,真武庙四里,15㎡,东,3居室,低楼层（6层）,3500
56,BJ2728079572955840512,整租·鸭子桥路 2室1厅 南,西城,菜户营,鸭子桥路,56㎡,南,2室1厅1卫,中楼层（5层）,5800
57,BJ2687700314299580416,整租·新街口西里三区 2室0厅 南/北,西城,新街口,新街口西里三区,49㎡,南 北,2室0厅1卫,中楼层（6层）,7488
58,BJ2726129377086808064,整租·南礼士路三条北里 5室1厅 南/北,西城,月坛,南礼士路三条北里,73㎡,南 北,5室1厅1卫,地下室（6层）,12000
59,BJ2202919220193804288,整租·荣丰2008 1室1厅 北,西城,广安门,荣丰2008,29㎡,北,1室1厅1卫,高楼层（10层）,5860
60,BJ2733902873820659712,整租·椿树园 2室1厅 南,西城,宣武门,椿树园,68㎡,南,2室1厅1卫,高楼层（17层）,8500
61,BJ2292206063828869120,整租·荣丰2008 1室1厅 西,西城,广安门,荣丰2008,26㎡,西,1室1厅1卫,低楼层（26层）,4390
62,BJ2734077792303464448,整租·铁二区 1室1厅 西北,西城,月坛,铁二区,39㎡,西北,1室1厅1卫,高楼层（18层）,6600
63,BJ2378431256166932480,整租·天宁寺东里 1室1厅 东,西城,天宁寺,天宁寺东里,36㎡,东,1室1厅1卫,低楼层（5层）,5460
64,BJ2733971828874674176,整租·南线里小区 1室1厅 西,西城,牛街,南线里小区,58㎡,西,1室1厅1卫,中楼层（22层）,5500
65,BJ2397004291677634560,整租·天桥北里 1室1厅 西,西城,陶然亭,天桥北里,55㎡,西,1室1厅1卫,高楼层（6层）,6490
66,BJ2734021959280508928,整租·马连道路5号院 2室1厅 南/北,西城,马连道,马连道路5号院,64㎡,南 北,2室1厅1卫,高楼层（6层）,6000
67,BJ2733980024570396672,整租·铁二区 3室1厅 南/北,西城,月坛,铁二区,79㎡,南 北,3室1厅1卫,高楼层（6层）,9900
68,BJ2734011459888750592,整租·裕中西里 2室1厅 南/北,西城,马甸,裕中西里,66㎡,南 北,2室1厅1卫,中楼层（6层）,8200
69,BJ2733402613453160448,整租·融城 3室1厅 南,西城,阜成门,融城,160㎡,南,3室1厅2卫,中楼层（21层）,21000
70,BJ2733916591904260096,整租·牛街18 1室0厅 东,西城,牛街,牛街18,52㎡,东,1室0厅1卫,中楼层（24层）,5400
71,BJ2417001134725005312,整租·平原里小区 1室1厅 西,西城,牛街,平原里小区,48㎡,西,1室1厅1卫,中楼层（9层）,6130
72,BJ2726184721590788096,整租·牛街西里 1室1厅 西南,西城,牛街,牛街西里,55㎡,西南,1室1厅1卫,高楼层（20层）,6100
73,BJ2534628886008823808,整租·乐城 2室1厅 西,西城,菜户营,乐城,94㎡,西,2室1厅1卫,中楼层（24层）,7690
74,BJ2725234749709746176,整租·双槐里 2室1厅 南/北,西城,牛街,双槐里,58㎡,南 北,2室1厅1卫,中楼层（6层）,5600
75,BJ2726600698753196032,整租·长安兴融中心 1室1厅 南,西城,金融街,长安兴融中心,100㎡,南,1室1厅1卫,高楼层（14层）,20000
76,BJ2726743420785147904,整租·清芷园 2室1厅 西北,西城,右安门内,清芷园,83㎡,西北,2室1厅1卫,高楼层（18层）,8800
77,BJ2726670090006708224,整租·车站西街17号院 1室1厅 南,西城,广安门,车站西街17号院,47㎡,南,1室1厅1卫,中楼层（6层）,4300
